Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_OUTDOOR,frontal,10.0,0.4351611744327533,1.2751861323779055,2,10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,betah,0.9920272501352542,11,10.0
PLANT_KINGDOM_OUTDOOR,frontal,15.0,0.4980565176098421,1.35356725094832,3,15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,betah,0.9930507992095888,11,15.0
PLANT_KINGDOM_OUTDOOR,frontal,20.0,0.47565206870574267,1.2873021860422285,4,20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,betah,0.9938747284333028,11,20.0
PLANT_KINGDOM_OUTDOOR,frontal,25.0,1.1306590859084158,2.0880139698341527,5,25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,betah,0.9924468803761464,11,25.0
PLANT_KINGDOM_OUTDOOR,frontal,30.0,1.02824300086931,1.9571911588051645,6,30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,betah,0.9937240133264796,11,30.0
PLANT_KINGDOM_OUTDOOR,frontal,35.0,1.192728689669289,2.1650135337682443,7,35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,betah,0.9915911244458684,11,35.0
PLANT_KINGDOM_OUTDOOR,frontal,40.0,1.0325992371944164,1.9684454630988257,8,40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,betah,0.9916461424782044,11,40.0
PLANT_KINGDOM_OUTDOOR,frontal,45.0,0.7699196227129274,1.694442491752764,9,45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,betah,0.9916024875763568,11,45.0
PLANT_KINGDOM_OUTDOOR,frontal,50.0,0.812835841771503,1.6664002308002235,10,50.0,2025-10-30 13:50:00.456219912,PLANT_KINGDOM_OUTDOOR,betah,0.9918464631736844,11,50.0
PLANT_KINGDOM_OUTDOOR,frontal,55.0,0.8351481899781844,1.6314272640984997,11,55.0,2025-10-30 13:50:05.455699921,PLANT_KINGDOM_OUTDOOR,betah,0.9951946362093064,11,55.0
PLANT_KINGDOM_OUTDOOR,frontal,60.0,0.750118942818869,1.6339840404341988,12,60.0,2025-10-30 13:50:10.455189943,PLANT_KINGDOM_OUTDOOR,betah,0.991378952442962,11,60.0
PLANT_KINGDOM_OUTDOOR,frontal,65.0,0.7226533751630736,1.6168774354992916,13,65.0,2025-10-30 13:50:15.455179930,PLANT_KINGDOM_OUTDOOR,betah,0.9836453562061184,11,65.0
PLANT_KINGDOM_OUTDOOR,frontal,70.0,0.6865124801818148,1.638352257103152,14,70.0,2025-10-30 13:50:20.454269886,PLANT_KINGDOM_OUTDOOR,betah,0.98838982126856,11,70.0
PLANT_KINGDOM_OUTDOOR,frontal,75.0,0.7533967576131002,1.747992606222271,15,75.0,2025-10-30 13:50:25.454159975,PLANT_KINGDOM_OUTDOOR,betah,0.992066019382381,11,75.0
PLANT_KINGDOM_OUTDOOR,frontal,80.0,0.7828878221548059,1.7868569499768343,16,80.0,2025-10-30 13:50:30.453550100,PLANT_KINGDOM_OUTDOOR,betah,0.9927181155161304,11,80.0
PLANT_KINGDOM_OUTDOOR,frontal,85.0,0.7404715526419196,1.7179024856911698,17,85.0,2025-10-30 13:50:35.452729940,PLANT_KINGDOM_OUTDOOR,betah,0.993952091585632,11,85.0
PLANT_KINGDOM_OUTDOOR,frontal,90.0,0.7172576474220804,1.6216396328266813,18,90.0,2025-10-30 13:50:40.452409983,PLANT_KINGDOM_OUTDOOR,betah,0.9934164709529048,11,90.0
PLANT_KINGDOM_OUTDOOR,frontal,95.0,0.5844243568293491,1.4859457365224527,19,95.0,2025-10-30 13:50:45.452300072,PLANT_KINGDOM_OUTDOOR,betah,0.9897142387822274,11,95.0
PLANT_KINGDOM_OUTDOOR,frontal,100.0,0.6554812880818225,1.5329841496489298,20,100.0,2025-10-30 13:50:50.451280117,PLANT_KINGDOM_OUTDOOR,betah,0.9896494191250476,11,100.0
PLANT_KINGDOM_OUTDOOR,frontal,105.0,0.6145388287906699,1.493823913032544,21,105.0,2025-10-30 13:50:55.450670004,PLANT_KINGDOM_OUTDOOR,betah,0.9879216923724718,11,105.0
PLANT_KINGDOM_OUTDOOR,frontal,110.0,0.6623809267918257,1.56704421539786,22,110.0,2025-10-30 13:51:00.450449944,PLANT_KINGDOM_OUTDOOR,betah,0.9907473910047208,11,110.0
PLANT_KINGDOM_OUTDOOR,frontal,115.0,0.6820986034227594,1.591507177940207,23,115.0,2025-10-30 13:51:05.450040102,PLANT_KINGDOM_OUTDOOR,betah,0.9913680468397073,11,115.0
PLANT_KINGDOM_OUTDOOR,frontal,120.0,0.6727033595693657,1.5588104184648024,24,120.0,2025-10-30 13:51:10.449630022,PLANT_KINGDOM_OUTDOOR,betah,0.9907188414936912,11,120.0
PLANT_KINGDOM_OUTDOOR,frontal,125.0,0.6988910145852868,1.5779243250512496,25,125.0,2025-10-30 13:51:15.448909998,PLANT_KINGDOM_OUTDOOR,betah,0.9915930606027382,11,125.0
PLANT_KINGDOM_OUTDOOR,frontal,130.0,0.7316579065941986,1.6399918371880835,26,130.0,2025-10-30 13:51:20.448299885,PLANT_KINGDOM_OUTDOOR,betah,0.9900913628631812,11,130.0
