Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_INDOOR,central,10.0,1.244976999732469,2.052417944108533,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,betah,0.9682243357282256,3,10.0
PLANT_KINGDOM_INDOOR,central,10.0,1.244976999732469,2.052417944108533,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,betah,0.8410104606231552,4,10.0
PLANT_KINGDOM_INDOOR,central,15.0,1.2611154500266593,2.085498592734367,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,betah,0.8663394505053991,4,15.0
PLANT_KINGDOM_INDOOR,central,15.0,1.2611154500266593,2.085498592734367,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,betah,0.9680930293222776,3,15.0
PLANT_KINGDOM_INDOOR,central,20.0,1.315525084682856,2.1721400253630554,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,betah,0.9030740608822232,4,20.0
PLANT_KINGDOM_INDOOR,central,20.0,1.315525084682856,2.1721400253630554,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,betah,0.9797678217306776,3,20.0
PLANT_KINGDOM_INDOOR,central,25.0,1.3369803665665778,2.207609775202857,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,betah,0.8880136865814559,4,25.0
PLANT_KINGDOM_INDOOR,central,25.0,1.3369803665665778,2.207609775202857,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,betah,0.9793775574259094,3,25.0
PLANT_KINGDOM_INDOOR,central,30.0,1.3004180437549995,2.193226731706471,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,betah,0.8774647238373171,4,30.0
PLANT_KINGDOM_INDOOR,central,30.0,1.3004180437549995,2.193226731706471,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,betah,0.960402277631616,3,30.0
PLANT_KINGDOM_INDOOR,central,35.0,1.3051226271861711,2.1762314399252434,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,betah,0.8892730880069388,4,35.0
PLANT_KINGDOM_INDOOR,central,35.0,1.3051226271861711,2.1762314399252434,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,betah,0.967835689169492,3,35.0
PLANT_KINGDOM_INDOOR,central,40.0,1.3619570829442915,2.236375891588957,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,betah,0.8726359456107533,4,40.0
PLANT_KINGDOM_INDOOR,central,40.0,1.3619570829442915,2.236375891588957,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,betah,0.9768481166758256,3,40.0
PLANT_KINGDOM_INDOOR,central,45.0,1.3147628659668427,2.1936019566098466,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,betah,0.8892714221011642,4,45.0
PLANT_KINGDOM_INDOOR,central,45.0,1.3147628659668427,2.1936019566098466,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,betah,0.9676163369948416,3,45.0
PLANT_KINGDOM_INDOOR,central,50.0,1.380905970961355,2.255777274033401,10,50.0,2025-10-31 17:28:21.372580051,PLANT_KINGDOM_INDOOR,betah,0.972985854262915,3,50.0
PLANT_KINGDOM_INDOOR,central,50.0,1.380905970961355,2.255777274033401,10,50.0,2025-10-31 17:28:21.372580051,PLANT_KINGDOM_INDOOR,betah,0.9215411574756828,4,50.0
PLANT_KINGDOM_INDOOR,central,55.0,1.336240142796703,2.245726843577797,11,55.0,2025-10-31 17:28:26.372279882,PLANT_KINGDOM_INDOOR,betah,0.919404148810156,4,55.0
PLANT_KINGDOM_INDOOR,central,55.0,1.336240142796703,2.245726843577797,11,55.0,2025-10-31 17:28:26.372279882,PLANT_KINGDOM_INDOOR,betah,0.9739698823891486,3,55.0
PLANT_KINGDOM_INDOOR,central,60.0,1.3557612054028716,2.2340148651714666,12,60.0,2025-10-31 17:28:31.371870041,PLANT_KINGDOM_INDOOR,betah,0.8668857083518096,4,60.0
PLANT_KINGDOM_INDOOR,central,60.0,1.3557612054028716,2.2340148651714666,12,60.0,2025-10-31 17:28:31.371870041,PLANT_KINGDOM_INDOOR,betah,0.9584362242552577,3,60.0
PLANT_KINGDOM_INDOOR,central,65.0,1.2987980000657278,2.1745264567991107,13,65.0,2025-10-31 17:28:36.371570110,PLANT_KINGDOM_INDOOR,betah,0.8453615376104227,4,65.0
PLANT_KINGDOM_INDOOR,central,65.0,1.2987980000657278,2.1745264567991107,13,65.0,2025-10-31 17:28:36.371570110,PLANT_KINGDOM_INDOOR,betah,0.9715758342727492,3,65.0
PLANT_KINGDOM_INDOOR,central,70.0,1.4093619934582748,2.2696436099964066,14,70.0,2025-10-31 17:28:41.371360064,PLANT_KINGDOM_INDOOR,betah,0.8622657523868827,4,70.0
PLANT_KINGDOM_INDOOR,central,70.0,1.4093619934582748,2.2696436099964066,14,70.0,2025-10-31 17:28:41.371360064,PLANT_KINGDOM_INDOOR,betah,0.9827711568062522,3,70.0
PLANT_KINGDOM_INDOOR,central,75.0,1.344214377020351,2.143500845715326,15,75.0,2025-10-31 17:28:46.370759964,PLANT_KINGDOM_INDOOR,betah,0.8675744094941584,4,75.0
PLANT_KINGDOM_INDOOR,central,75.0,1.344214377020351,2.143500845715326,15,75.0,2025-10-31 17:28:46.370759964,PLANT_KINGDOM_INDOOR,betah,0.9682176770678556,3,75.0
PLANT_KINGDOM_INDOOR,central,80.0,1.3713641543538757,2.2146827728524245,16,80.0,2025-10-31 17:28:51.370249987,PLANT_KINGDOM_INDOOR,betah,0.9011653370368484,4,80.0
PLANT_KINGDOM_INDOOR,central,80.0,1.3713641543538757,2.2146827728524245,16,80.0,2025-10-31 17:28:51.370249987,PLANT_KINGDOM_INDOOR,betah,0.9731565018199028,3,80.0
PLANT_KINGDOM_INDOOR,central,85.0,1.333091295354461,2.195284618178678,17,85.0,2025-10-31 17:28:56.369950056,PLANT_KINGDOM_INDOOR,betah,0.979170003981946,3,85.0
PLANT_KINGDOM_INDOOR,central,85.0,1.333091295354461,2.195284618178678,17,85.0,2025-10-31 17:28:56.369950056,PLANT_KINGDOM_INDOOR,betah,0.8787661083024253,4,85.0
PLANT_KINGDOM_INDOOR,central,90.0,1.3486660766054295,2.217592307017735,18,90.0,2025-10-31 17:29:01.369539976,PLANT_KINGDOM_INDOOR,betah,0.8423618031038453,4,90.0
PLANT_KINGDOM_INDOOR,central,90.0,1.3486660766054295,2.217592307017735,18,90.0,2025-10-31 17:29:01.369539976,PLANT_KINGDOM_INDOOR,betah,0.976920707895934,3,90.0
PLANT_KINGDOM_INDOOR,central,95.0,1.3160545402842643,2.242796808407352,19,95.0,2025-10-31 17:29:06.368940115,PLANT_KINGDOM_INDOOR,betah,0.9838579257018916,3,95.0
PLANT_KINGDOM_INDOOR,central,95.0,1.3160545402842643,2.242796808407352,19,95.0,2025-10-31 17:29:06.368940115,PLANT_KINGDOM_INDOOR,betah,0.8484546009967214,4,95.0
PLANT_KINGDOM_INDOOR,central,100.0,1.375904846409716,2.2362913981606516,20,100.0,2025-10-31 17:29:11.368829966,PLANT_KINGDOM_INDOOR,betah,0.8591020078093443,4,100.0
PLANT_KINGDOM_INDOOR,central,100.0,1.375904846409716,2.2362913981606516,20,100.0,2025-10-31 17:29:11.368829966,PLANT_KINGDOM_INDOOR,betah,0.9773091499771148,3,100.0
PLANT_KINGDOM_INDOOR,central,105.0,1.3591519988320995,2.1355079163837676,21,105.0,2025-10-31 17:29:16.368330002,PLANT_KINGDOM_INDOOR,betah,0.9689087899142572,3,105.0
PLANT_KINGDOM_INDOOR,central,105.0,1.3591519988320995,2.1355079163837676,21,105.0,2025-10-31 17:29:16.368330002,PLANT_KINGDOM_INDOOR,betah,0.8650550804267754,4,105.0
PLANT_KINGDOM_INDOOR,central,110.0,1.3586476854308605,2.1477355495489943,22,110.0,2025-10-31 17:29:21.367919922,PLANT_KINGDOM_INDOOR,betah,0.8666043502081334,4,110.0
PLANT_KINGDOM_INDOOR,central,110.0,1.3586476854308605,2.1477355495489943,22,110.0,2025-10-31 17:29:21.367919922,PLANT_KINGDOM_INDOOR,betah,0.9717603177839624,3,110.0
PLANT_KINGDOM_INDOOR,central,115.0,1.2912543018309988,2.0472293650970235,23,115.0,2025-10-31 17:29:26.367520094,PLANT_KINGDOM_INDOOR,betah,0.857767437753135,4,115.0
PLANT_KINGDOM_INDOOR,central,115.0,1.2912543018309988,2.0472293650970235,23,115.0,2025-10-31 17:29:26.367520094,PLANT_KINGDOM_INDOOR,betah,0.9780326002240042,3,115.0
PLANT_KINGDOM_INDOOR,central,120.0,1.3731288801310595,2.251293245180796,24,120.0,2025-10-31 17:29:31.367209911,PLANT_KINGDOM_INDOOR,betah,0.8650987269437094,4,120.0
PLANT_KINGDOM_INDOOR,central,120.0,1.3731288801310595,2.251293245180796,24,120.0,2025-10-31 17:29:31.367209911,PLANT_KINGDOM_INDOOR,betah,0.972244510406022,3,120.0
PLANT_KINGDOM_INDOOR,central,125.0,1.408365081360369,2.298005903777908,25,125.0,2025-10-31 17:29:36.366810083,PLANT_KINGDOM_INDOOR,betah,0.8825555954355162,4,125.0
PLANT_KINGDOM_INDOOR,central,125.0,1.408365081360369,2.298005903777908,25,125.0,2025-10-31 17:29:36.366810083,PLANT_KINGDOM_INDOOR,betah,0.9730282512520428,3,125.0
PLANT_KINGDOM_INDOOR,central,130.0,1.434356127922433,2.252067115139134,26,130.0,2025-10-31 17:29:41.366400003,PLANT_KINGDOM_INDOOR,betah,0.9034401236186674,4,130.0
PLANT_KINGDOM_INDOOR,central,130.0,1.434356127922433,2.252067115139134,26,130.0,2025-10-31 17:29:41.366400003,PLANT_KINGDOM_INDOOR,betah,0.9795664871354998,3,130.0
