Session,Channel,Exponent,Offset,_canon,BaselineExponent,DeltaExponent,NASS,AperiodicShiftLabel
PLANT_KINGDOM_INDOOR,T8,1.4933713382051548,2.3904920759530435,T8,1.632137193806401,-0.13876585560124632,-0.8191161446310485,aperiodic_shift_neutral
PLANT_KINGDOM_INDOOR,FT10,1.3525571737715438,2.0088423626466425,FT10,1.6662365146873392,-0.3136793409157954,-1.8516068759716344,aperiodic_shift_negative
PLANT_KINGDOM_INDOOR,FC6,1.3170018368090257,2.242374385977411,FC6,1.4912923751517633,-0.17429053834273756,-1.0288135593183405,aperiodic_shift_negative
PLANT_KINGDOM_INDOOR,C4,1.3869439607889873,2.4139611568062174,C4,1.609632280645072,-0.22268831985608473,-1.3144991411939493,aperiodic_shift_negative
PLANT_KINGDOM_INDOOR,FC2,1.3043293658671118,1.9408969130563343,FC2,1.4090647784668038,-0.10473541259969199,-0.618239025755204,aperiodic_shift_neutral
PLANT_KINGDOM_INDOOR,F4,1.2690029553703743,2.1902106416974063,F4,1.5918453185573416,-0.32284236318696724,-1.9056949615702887,aperiodic_shift_negative
PLANT_KINGDOM_INDOOR,F8,1.2327073346544293,2.050125518973944,F8,1.460919067490438,-0.2282117328360087,-1.347103103643627,aperiodic_shift_negative
PLANT_KINGDOM_INDOOR,Fp2,1.0747043599080237,2.0002189299061715,Fp2,1.4012573062389528,-0.32655294633092913,-1.9275980338069414,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Cz,0.8979363350425861,1.9505284762163804,Cz,1.3975629646180492,-0.4996266295754631,-2.94922866147184,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Fz,0.8821623872420385,1.814951937805226,Fz,1.4877910150548543,-0.6056286278128158,-3.5749441715528927,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Fp1,0.7605090315289662,1.7407136996206645,Fp1,1.3776501645739918,-0.6171411330450256,-3.6429009384390527,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,F7,0.7138457257174878,1.543965422007546,F7,1.35915084061919,-0.6453051149017021,-3.8091491277788836,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,F3,0.7513919627325493,1.6157449046571644,F3,1.4189478798105437,-0.6675559170779944,-3.9404926143636994,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FC1,0.7370390230025209,1.3972043942261294,FC1,1.3587940675332595,-0.6217550445307386,-3.6701362361386995,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,C3,0.7323922218459727,1.5407861122281992,C3,1.4113204642344037,-0.678928242388431,-4.007621918063184,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FC5,0.678782324951802,1.4945355317069828,FC5,1.359722730401271,-0.6809404054494689,-4.019499445440398,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FT9,0.7059747492592268,1.372404478382819,FT9,1.4614108773001058,-0.755436128040879,-4.459237656372684,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,T7,0.3575771346640926,1.0825440808175621,T7,1.415344808212865,-1.0577676735487724,-6.243860025353687,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,CP5,0.6172685955052046,1.3994422341632278,CP5,1.257918750200339,-0.6406501546951344,-3.7816715250120225,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,CP1,0.7327739337787069,1.5385963254386648,CP1,1.2686599201208515,-0.5358859863421446,-3.1632627579204127,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,P3,0.6994748077772907,1.631678421823462,P3,1.30117076407381,-0.6016959562965193,-3.5517301415844122,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,P7,0.4017942814435426,1.133855417542457,P7,1.162117191481993,-0.7603229100384503,-4.488083671930037,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,PO9,0.3285455885131534,1.1303046553289278,PO9,1.0034790690385569,-0.6749334805254035,-3.9840413771456467,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,O1,0.5424390687149149,1.5711097043914297,O1,1.1786033415097692,-0.6361642727948543,-3.755191968701092,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Pz,0.7209284052124197,1.4618443498486018,Pz,1.2700257876532206,-0.5490973824408009,-3.2412478486376988,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Oz,0.6379441178795424,1.6442844461414896,Oz,0.9840883867385257,-0.3461442688589833,-2.043242970436864,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,O2,0.668517892222318,1.731867941104753,O2,0.7254856961287508,-0.056967803906432746,-0.3362732691104141,aperiodic_shift_neutral
PLANT_KINGDOM_OUTDOOR,PO10,0.6459065466156649,1.596209239080697,PO10,0.8239332275485578,-0.17802668093289287,-1.050867505521317,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,P8,0.6904665165454036,1.8248908544081646,P8,1.2461263010520673,-0.5556597845066638,-3.2799848236407927,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,P4,0.8008579569758898,1.8974895780882617,P4,1.4133338191413827,-0.6124758621654929,-3.615362473159212,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,CP2,0.8645568244219276,1.5570524437751192,CP2,1.4268721540007234,-0.5623153295787958,-3.31927160925734,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,CP6,0.6947935788912414,1.7559003759652145,CP6,1.401674353476725,-0.7068807745854837,-4.172621948558578,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,T8,0.4066011456355156,1.49781243588224,T8,1.632137193806401,-1.2255360481708855,-7.234174131198096,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FT10,0.8430444373704501,1.7669188877614883,FT10,1.6662365146873392,-0.8231920773168891,-4.8591918937195535,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FC6,0.7464591929072977,1.749217702123235,FC6,1.4912923751517633,-0.7448331822444656,-4.396649896257925,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,C4,0.7625503862661538,1.78915291295213,C4,1.609632280645072,-0.8470818943789182,-5.000210264290639,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,FC2,0.8586305946058483,1.718938101773733,FC2,1.4090647784668038,-0.5504341838609554,-3.249138807264876,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,F4,0.8085427913998983,1.7924502339952175,F4,1.5918453185573416,-0.7833025271574433,-4.6237292549018045,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,F8,0.9313352889601769,1.9505570884225225,F8,1.460919067490438,-0.5295837785302611,-3.1260616745331,aperiodic_shift_negative
PLANT_KINGDOM_OUTDOOR,Fp2,0.7389751355911747,1.731983873102323,Fp2,1.4012573062389528,-0.6622821706477782,-3.909362399910269,aperiodic_shift_negative
